Date,sentiment_compound,DASH,ETH,LTC,XRP,BTC_Price
9/24/15,0,2.4075675,0.752497496,2.870285416,0.006574223,232.4689977
9/25/15,-0.1531,2.392263773,0.747430007,2.883095306,0.006532368,235.400646
9/26/15,,2.359285805,0.750915122,2.877735186,0.006493706,234.7688225
9/27/15,,2.329510761,0.625178869,2.932701315,0.006101396,232.8777196
9/28/15,-0.12055,2.365192064,0.627483135,3.078033444,0.005455485,237.9191226
9/29/15,0.486666667,2.361401414,0.702645374,3.001399191,0.005513998,238.1856801
9/30/15,0.222733333,2.329573855,0.694625873,2.992723768,0.005363202,236.7859779
10/1/15,0.31245,2.246810397,0.670378151,2.989206706,0.005594611,237.2608471
10/2/15,0.20015,2.161875883,0.695859768,2.992997861,0.005460497,238.1376919
10/3/15,,2.142336953,0.675798968,2.998399828,0.005119888,238.3560418
10/4/15,0,2.297187547,0.6532584,3.002705855,0.005005692,238.9352022
10/5/15,0,2.307740194,0.610427706,3.005006688,0.005174493,238.8962532
10/6/15,,2.377187863,0.62280343,3.085744426,0.005256701,243.478514
10/7/15,0.4019,2.376785981,0.616748203,3.062292877,0.004952014,244.4232122
10/8/15,,2.367298076,0.664885967,3.088843196,0.004917035,243.5381604
10/9/15,0.528725,2.328861849,0.636565595,3.086901857,0.004997573,243.6652024
10/10/15,-0.1027,2.338423194,0.62560626,3.106771347,0.005087684,245.0714954
10/11/15,,2.33586661,0.638479589,3.15767894,0.005266366,246.899481
10/12/15,0.508,2.315347989,0.606280158,3.131263227,0.005246432,246.8909204
10/13/15,0.7813,2.336626099,0.520724497,3.103935208,0.005269633,247.8660799
10/14/15,,2.233053802,0.539691378,3.055596403,0.005248397,250.9993989
10/15/15,0.329525,2.268500512,0.525421949,3.021027116,0.005186376,254.8587758
10/16/15,0,2.328293602,0.519485297,2.96552584,0.005038027,260.7674648
10/17/15,-0.3612,2.406456717,0.530859216,3.030902374,0.005028469,268.4713888
10/18/15,0.644,2.355995482,0.501471137,3.027050277,0.005068846,265.1070199
10/19/15,0.4019,2.351496292,0.466224267,3.038941143,0.00469115,263.9926771
10/20/15,0,2.34294745,0.44741323,3.057060635,0.00467147,268.0132203
10/21/15,,2.331885443,0.507312635,3.066383004,0.004599168,268.48615
10/22/15,0.5267,2.321277781,0.5458401,3.056451061,0.004643867,273.1686336
10/23/15,,2.212701979,0.547092422,3.054472234,0.004615175,277.3542852
10/24/15,0,2.19727943,0.619048356,3.006320001,0.004453666,280.6342818
10/25/15,0,2.19549373,0.678303147,3.128393788,0.004657384,289.2785119
10/26/15,0.8883,2.056186896,0.80119493,3.01072863,0.004516059,284.5657717
10/27/15,,2.076464106,0.92842195,2.989125201,0.004487608,293.1161483
10/28/15,0.11315,2.161430601,1.07518661,3.476606003,0.004444014,300.8811097
10/29/15,0.8126,2.429678174,1.069182241,3.719634382,0.004471812,310.5424827
10/30/15,0.303975,2.427169203,0.962458549,3.832571705,0.004789724,324.7270653
10/31/15,0.0318,2.438829987,0.991781032,3.755674564,0.004770138,318.4337538
11/1/15,0.0381,2.329982576,0.946132729,3.715243653,0.004657378,318.5621359
11/2/15,0.1027,2.406697503,0.879059239,3.945824307,0.004673246,344.3806813
11/3/15,-0.037333333,2.269855787,0.757334728,4.049109683,0.004177223,385.708472
11/4/15,0.103128333,2.734687064,1.01113902,4.311626295,0.004877854,440.6372108
11/5/15,0.43865,2.749856125,0.980310072,3.83210552,0.004926987,400.8939857
11/6/15,0.437758333,2.635565963,0.879376606,3.485311239,0.0044914,372.1126466
11/7/15,0.4199,2.616655604,0.99218552,3.50744572,0.004539408,382.1050824
11/8/15,,2.535256427,1.044653541,3.385335649,0.004563294,378.6966128
11/9/15,,2.567553633,1.01893694,3.284491521,0.00471815,374.4563581
11/10/15,0.247666667,2.593326221,0.909659022,3.343598494,0.004703493,352.3215546
11/11/15,,2.34019886,0.819508668,3.022015024,0.004144569,313.5075242
11/12/15,0,2.451187097,0.861600517,3.135758648,0.004287008,326.008187
11/13/15,0.8169,2.427566605,0.892499109,3.193411632,0.004325262,333.7393461
11/14/15,-0.6696,2.392615052,0.926594647,3.193410091,0.004291088,333.6771126
11/15/15,,2.271935796,0.922748729,3.100656286,0.004184868,324.1570602
11/16/15,0.6588,2.186118284,0.949513823,3.112221519,0.004091738,324.7411249
11/17/15,0.3612,2.334383836,0.987074745,3.186387876,0.00425248,335.1048338
11/18/15,0.5134,2.257769376,0.977603337,3.18918253,0.004236378,333.3106049
11/19/15,,2.277790463,0.951793139,3.211728167,0.004377952,330.4114513
11/20/15,0.33385,2.152022776,0.94123866,3.077007887,0.004197345,318.9471854
11/21/15,0.122,2.112895506,0.970483712,3.127793622,0.004246137,323.8853923
11/22/15,,2.095942764,0.946400151,3.122895052,0.004256294,323.9188394
11/23/15,0.061733333,2.080286009,0.921548009,3.123599433,0.004223993,323.1823507
11/24/15,-0.080366667,2.078691197,0.865305506,3.199331595,0.004205319,321.5075821
11/25/15,0.105,2.022156412,0.800625136,3.393524186,0.00395065,323.8237734
11/26/15,-0.3625,2.09872379,0.850615833,3.496249743,0.004101548,347.5887991
11/27/15,0,2.093616388,0.90787824,3.557668904,0.004233258,357.8409364
11/28/15,,2.0914511,0.856261265,3.48313718,0.004056732,354.6094542
11/29/15,0.6114,2.072094224,0.837573862,3.515012496,0.00406942,363.3410821
11/30/15,0.21075,2.164498465,0.901049623,3.592533677,0.004216788,376.1630241
12/1/15,0.39055,2.213595756,0.86985501,3.424589259,0.004238516,364.7603752
12/2/15,0.802,2.323888805,0.785945687,3.319275135,0.004232417,355.6653288
12/3/15,-0.02035,2.367790594,0.829673476,3.384206957,0.004756532,363.0940239
12/4/15,,2.269088836,0.810283918,3.306753483,0.005039748,361.0134768
12/5/15,0.4019,2.266080523,0.813145028,3.350011566,0.004868749,376.5466817
12/6/15,,2.332525816,0.806449386,3.586457797,0.005422222,392.9146136
12/7/15,,2.299505957,0.787725683,3.608617191,0.006648103,392.4500213
12/8/15,0.578366667,2.43921657,0.753468296,3.497136277,0.008125814,397.9340864
12/9/15,0.6124,2.504300997,0.822261841,3.619853184,0.008526244,414.9023833
12/10/15,0.3348,2.449035762,0.838426678,3.586272055,0.007652198,415.428783
12/11/15,0.4019,2.589937021,0.976897277,3.683472764,0.008572256,435.8035674
12/12/15,0.6901,2.685779714,0.954739018,3.560474258,0.008544996,432.439088
12/13/15,0.6249,2.772800113,0.977355158,3.522861557,0.007375889,434.1311683
12/14/15,0.5256,2.608969392,0.976845141,3.606685935,0.006157328,441.0693635
12/15/15,,2.647937887,0.992673253,3.713936857,0.00658606,455.4675252
12/16/15,,2.600625931,0.937310263,3.707432362,0.006629813,454.0967886
